Date,League,Home Team,Away Team,Predcition Score,Prediction Type,Confidence Level(%),Outcome,Source,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,0-6,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-3,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-3,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-3,Away win,,0-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-3,Away win,,2-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-3,Away win,,4-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-3,Away win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-3,Away win,,0-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-3,Away win,,2-5,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-3,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,5-2,Home win,,3-3,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,5-0,Home win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,4-1,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,4-2,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,4-3,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,4-0,Home win,,6-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,4-1,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,4-2,Home win,,3-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-2,Home win,,2-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-2,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-2,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-2,Home win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-2,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-2,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-2,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-2,Home win,,4-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-2,Home win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-2,Home win,,2-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-2,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-2,Home win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,3-1,Home win,,4-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,4-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,5-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,5-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-0,Home win,,5-3,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-0,Home win,,5-2,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-0,Home win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-0,Home win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-0,Home win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-0,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-0,Home win,,3-3,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-4,Away win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-3,Away win,,1-2,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-3,Away win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-3,Away win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-3,Away win,,0-4,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-3,Away win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2-2,Draw,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,5-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,0-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,3-2,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,1-3,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,4-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,3-2,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,4-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,4-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,5-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,5-0,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,3-3,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,5-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,4-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,4-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2-0,Home win,,5-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,4-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,2-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,3-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,5-2,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,3-0,whoscored.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,6-1,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-4,Away win,,2-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-4,Away win,,0-2,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-4,Away win,,1-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-4,Away win,,0-1,whoscored.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-4,Away win,,1-0,whoscored.com,,,,,,,,,,,,,,,,,,
,EPL,,,u2.5,under 2.5,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,u2.5,under 2.5,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,4-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,4-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,3-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,4-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams to score,,3-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams not to score,,4-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&GG,Home and both teams not to score,,2-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&2.5,Home and over 2.5,,3-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2&GG,Away and both teams to score,,0-6,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2&GG,Away and both teams to score,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2&GG,Away and both teams to score,,0-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2&GG,Away and both teams to score,,2-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,2-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,0-5,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,3-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,0-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,2-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,0-5,sportytrader.com,,,,,,,,,,,,,,,,,,
